 VARIABLES= X,Y,con
 ZONE I=          61 ,J=          19 ,T=TT
          51          10  0.16666639192304300     
          52          10  0.14999975053800990     
          53          10  0.13333310983673480     
          54          10  0.11666646974804837     
          55          10   9.9999830199102205E-002
          56          10   8.3333191115568500E-002
          57          10   6.6666552421843828E-002
          58          10   4.9999914041256283E-002
          59          10   3.3333275896275688E-002
          60          10   1.6666637908726085E-002
          61          10   0.0000000000000000     
           1          11   1.0000000000000000     
           2          11  0.98333330457620993     
           3          11  0.96666660923124070     
           4          11  0.94999991404369777     
           5          11  0.93333321909175493     
           6          11  0.91666652445293995     
           7          11  0.89999983020392282     
           8          11  0.88333313642030487     
           9          11  0.86666644317641162     
          10          11  0.84999975054508925     
          11          11  0.83333305859750550     
          12          11  0.81666636740295329     
          13          11  0.79999967702866204     
          14          11  0.78333298753961245     
          15          11  0.76666629899835947     
          16          11  0.74999961146485949     
          17          11  0.73333292499630753     
          18          11  0.71666623964697873     
          19          11  0.69999955546808124     
          20          11  0.68333287250761487     
          21          11  0.66666619081023959     
          22          11  0.64999951041715376     
          23          11  0.63333283136598051     
          24          11  0.61666615369066502     
          25          11  0.59999947742138093     
          26          11  0.58333280258444864     
          27          11  0.56666612920226211     
          28          11  0.54999945729322819     
          29          11  0.53333278687171592     
          30          11  0.51666611794801698     
          31          11  0.49999945052831790     
          32          11  0.48333278461468238     
          33          11  0.46666612020504672     
          34          11  0.44999945729322433     
          35          11  0.43333279586892354     
          36          11  0.41666613591777529     
          37          11  0.39999947742137298     
          38          11  0.38333282035732236     
          39          11  0.36666616469930324     
          40          11  0.34999951041714195     
          41          11  0.33333285747689323     
          42          11  0.31666620584093408     
          43          11  0.29999955546806611     
          44          11  0.28333290631362945     
          45          11  0.26666625832962415     
          46          11  0.24999961146484229     
          47          11  0.23333296566500838     
          48          11  0.21666632087292781     
          49          11  0.19999967702864391     
          50          11  0.18333303406960205     
          51          11  0.16666639193082128     
          52          11  0.14999975054507242     
          53          11  0.13333310984306224     
          54          11  0.11666646975362334     
          55          11   9.9999830203909429E-002
          56          11   8.3333191119594835E-002
          57          11   6.6666552425078213E-002
          58          11   4.9999914043689864E-002
          59          11   3.3333275897901797E-002
          60          11   1.6666637909540254E-002
          61          11   0.0000000000000000     
           1          12   1.0000000000000000     
           2          12  0.98333330457539569     
           3          12  0.96666660922961467     
           4          12  0.94999991404126427     
           5          12  0.93333321908852052     
           6          12  0.91666652444891361     
           7          12  0.89999983019911567     
           8          12  0.88333313641472988     
           9          12  0.86666644317008412     
          10          12  0.84999975053802679     
          11          12  0.83333305858972717     
          12          12  0.81666636739448051     
          13          12  0.79999967701951813     
          14          12  0.78333298752982250     
          15          12  0.76666629898795013     
          16          12  0.74999961145385940     
          17          12  0.73333292498474667     
          18          12  0.71666623963488907     
          19          12  0.69999955545549575     
          20          12  0.68333287249456809     
          21          12  0.66666619079676726     
          22          12  0.64999951040329274     
          23          12  0.63333283135176888     
          24          12  0.61666615367614164     
          25          12  0.59999947740658577     
          26          12  0.58333280256942222     
          27          12  0.56666612918704551     
          28          12  0.54999945727786315     
          29          12  0.53333278685624463     
          30          12  0.51666611793248185     
          31          12  0.49999945051276129     
          32          12  0.48333278459914719     
          33          12  0.46666612018957537     
          34          12  0.44999945727785934     
          35          12  0.43333279585370688     
          36          12  0.41666613590274881     
          37          12  0.39999947740657782     
          38          12  0.38333282034279909     
          39          12  0.36666616468509172     
          40          12  0.34999951040328098     
          41          12  0.33333285746342095     
          42          12  0.31666620582788718     
          43          12  0.29999955545548063     
          44          12  0.28333290630153973     
          45          12  0.26666625831806334     
          46          12  0.24999961145384217     
          47          12  0.23333296565459899     
          48          12  0.21666632086313775     
          49          12  0.19999967701949997     
          50          12  0.18333303406112933     
          51          12  0.16666639192304300     
          52          12  0.14999975053800990     
          53          12  0.13333310983673480     
          54          12  0.11666646974804837     
          55          12   9.9999830199102205E-002
          56          12   8.3333191115568500E-002
          57          12   6.6666552421843828E-002
          58          12   4.9999914041256290E-002
          59          12   3.3333275896275688E-002
          60          12   1.6666637908726085E-002
          61          12   0.0000000000000000     
           1          13   1.0000000000000000     
           2          13  0.98333330457295320     
           3          13  0.96666660922473624     
           4          13  0.94999991403396333     
           5          13  0.93333321907881717     
           6          13  0.91666652443683450     
           7          13  0.89999983018469376     
           8          13  0.88333313639800459     
           9          13  0.86666644315110142     
          10          13  0.84999975051683874     
          11          13  0.83333305856639195     
          12          13  0.81666636736906195     
          13          13  0.79999967699208574     
          14          13  0.78333298750045177     
          15          13  0.76666629895672134     
          16          13  0.74999961142085825     
          17          13  0.73333292495006375     
          18          13  0.71666623959861919     
          19          13  0.69999955541773839     
          20          13  0.68333287245542673     
          21          13  0.66666619075634925     
          22          13  0.64999951036170889     
          23          13  0.63333283130913332     
          24          13  0.61666615363257093     
          25          13  0.59999947736219950     
          26          13  0.58333280252434194     
          27          13  0.56666612914139480     
          28          13  0.54999945723176724     
          29          13  0.53333278680982976     
          30          13  0.51666611788587513     
          31          13  0.49999945046609079     
          32          13  0.48333278455254058     
          33          13  0.46666612014316045     
          34          13  0.44999945723176338     
          35          13  0.43333279580805623     
          36          13  0.41666613585766854     
          37          13  0.39999947736219149     
          38          13  0.38333282029922838     
          39          13  0.36666616464245605     
          40          13  0.34999951036169719     
          41          13  0.33333285742300300     
          42          13  0.31666620578874594     
          43          13  0.29999955541772338     
          44          13  0.28333290626526991     
          45          13  0.26666625828338036     
          46          13  0.24999961142084107     
          47          13  0.23333296562337033     
          48          13  0.21666632083376705     
          49          13  0.19999967699206772     
          50          13  0.18333303403571072     
          51          13  0.16666639189970772     
          52          13  0.14999975051682191     
          53          13  0.13333310981775218     
          54          13  0.11666646973132314     
          55          13   9.9999830184680200E-002
          56          13   8.3333191103489274E-002
          57          13   6.6666552412140478E-002
          58          13   4.9999914033955400E-002
          59          13   3.3333275891397292E-002
          60          13   1.6666637906283536E-002
          61          13   0.0000000000000000     
           1          14   1.0000000000000000     
           2          14  0.98333330456888202     
           3          14  0.96666660921660530     
           4          14  0.94999991402179473     
           5          14  0.93333321906264421     
           6          14  0.91666652441670171     
           7          14  0.89999983016065621     
           8          14  0.88333313637012822     
           9          14  0.86666644311946262     
          10          14  0.84999975048152410     
          11          14  0.83333305852749839     
          12          14  0.81666636732669606     
          13          14  0.79999967694636354     
          14          14  0.78333298745149860     
          15          14  0.76666629890467153     
          16          14  0.74999961136585458     
          17          14  0.73333292489225654     
          18          14  0.71666623953816710     
          19          14  0.69999955535480729     
          20          14  0.68333287239018881     
          21          14  0.66666619068898358     
          22          14  0.64999951029240000     
          23          14  0.63333283123807116     
          24          14  0.61666615355995025     
          25          14  0.59999947728821934     
          26          14  0.58333280244920516     
          27          14  0.56666612906530744     
          28          14  0.54999945715493781     
          29          14  0.53333278673246864     
          30          14  0.51666611780819460     
          31          14  0.49999945038830362     
          32          14  0.48333278447486000     
          33          14  0.46666612006579944     
          34          14  0.44999945715493378     
          35          14  0.43333279573196887     
          36          14  0.41666613578253192     
          37          14  0.39999947728821150     
          38          14  0.38333282022660770     
          39          14  0.36666616457139389     
          40          14  0.34999951029238829     
          41          14  0.33333285735563728     
          42          14  0.31666620572350812     
          43          14  0.29999955535479217     
          44          14  0.28333290620481788     
          45          14  0.26666625822557322     
          46          14  0.24999961136583723     
          47          14  0.23333296557132055     
          48          14  0.21666632078481399     
          49          14  0.19999967694634557     
          50          14  0.18333303399334477     
          51          14  0.16666639186081411     
          52          14  0.14999975048150727     
          53          14  0.13333310978611326     
          54          14  0.11666646970344670     
          55          14   9.9999830160642650E-002
          56          14   8.3333191083356462E-002
          57          14   6.6666552395967610E-002
          58          14   4.9999914021786801E-002
          59          14   3.3333275883266310E-002
          60          14   1.6666637902212469E-002
          61          14   0.0000000000000000     
           1          15   1.0000000000000000     
           2          15  0.98333330456318235     
           3          15  0.96666660920522118     
           4          15  0.94999991400475758     
           5          15  0.93333321904000099     
           6          15  0.91666652438851415     
           7          15  0.89999983012700180     
           8          15  0.88333313633109911     
           9          15  0.86666644307516560     
          10          15  0.84999975043208087     
          11          15  0.83333305847304429     
          12          15  0.81666636726738040     
          13          15  0.79999967688234896     
          14          15  0.78333298738296042     
          15          15  0.76666629883179782     
          16          15  0.74999961128884474     
          17          15  0.73333292481132184     
          18          15  0.71666623945352959     
          19          15  0.69999955526669855     
          20          15  0.68333287229885076     
          21          15  0.66666619059466636     
          22          15  0.64999951019536228     
          23          15  0.63333283113857841     
          24          15  0.61666615345827569     
          25          15  0.59999947718464142     
          26          15  0.58333280234400786     
          27          15  0.56666612895877910     
          28          15  0.54999945704737041     
          29          15  0.53333278662415706     
          30          15  0.51666611769943571     
          31          15  0.49999945027939535     
          32          15  0.48333278436610105     
          33          15  0.46666611995748769     
          34          15  0.44999945704736644     
          35          15  0.43333279562544053     
          36          15  0.41666613567733457     
          37          15  0.39999947718463347     
          38          15  0.38333282012493308     
          39          15  0.36666616447190126     
          40          15  0.34999951019535036     
          41          15  0.33333285726132000     
          42          15  0.31666620563216996     
          43          15  0.29999955526668354     
          44          15  0.28333290612018031     
          45          15  0.26666625814463862     
          46          15  0.24999961128882744     
          47          15  0.23333296549844670     
          48          15  0.21666632071627584     
          49          15  0.19999967688233092     
          50          15  0.18333303393402911     
          51          15  0.16666639180636000     
          52          15  0.14999975043206396     
          53          15  0.13333310974181631     
          54          15  0.11666646966441747     
          55          15   9.9999830126988140E-002
          56          15   8.3333191055168954E-002
          57          15   6.6666552373324306E-002
          58          15   4.9999914004749797E-002
          59          15   3.3333275871882298E-002
          60          15   1.6666637896512650E-002
          61          15   0.0000000000000000     
           1          16   1.0000000000000000     
           2          16  0.98333330455585333     
           3          16  0.96666660919058356     
           4          16  0.94999991398285122     
           5          16  0.93333321901088617     
           6          16  0.91666652435227036     
           7          16  0.89999983008372841     
           8          16  0.88333313628091481     
           9          16  0.86666644301820805     
          10          16  0.84999975036850595     
          11          16  0.83333305840302652     
          12          16  0.81666636719111163     
          13          16  0.79999967680003814     
          14          16  0.78333298729483336     
          15          16  0.76666629873809578     
          16          16  0.74999961118982472     
          17          16  0.73333292470725542     
          18          16  0.71666623934470164     
          19          16  0.69999955515340762     
          20          16  0.68333287218140715     
          21          16  0.66666619047339215     
          22          16  0.64999951007058976     
          23          16  0.63333283101064974     
          24          16  0.61666615332754138     
          25          16  0.59999947705145984     
          26          16  0.58333280220874395     
          27          16  0.56666612882180378     
          28          16  0.54999945690905894     
          29          16  0.53333278648488869     
          30          16  0.51666611755959213     
          31          16  0.49999945013935987     
          32          16  0.48333278422625742     
          33          16  0.46666611981821937     
          34          16  0.44999945690905502     
          35          16  0.43333279548846515     
          36          16  0.41666613554207066     
          37          16  0.39999947705145189     
          38          16  0.38333281999419871     
          39          16  0.36666616434397248     
          40          16  0.34999951007057778     
          41          16  0.33333285714004574     
